compound	SMILES	length_smiles
CHEMBL1672002	CC1=CC(=O)C(=CC1=O)C(C)C	24
CHEMBL443052	B1(C2=C(CO1)C=C(C=C2)F)O	24
CHEMBL459008	CCCCOC(=O)C1=CC=C(C=C1)O	24
CHEMBL4650337	CNC[C@H]1C2=C(CCO1)C=CS2	24
CHEMBL39	C1=CC2=C(C=C1O)C(=CN2)CCN	25
CHEMBL478	C1CN(CCN1)C2=CC(=CC=C2)Cl	25
CHEMBL575060	C(CC(=O)O)[C@@H](C(=O)O)N	25
CHEMBL419	C1=CC(=CC=C1CN)S(=O)(=O)N	25
CHEMBL590	CC1=CC(=O)C2=CC=CC=C2C1=O	25
CHEMBL727	C1=NC2=C(N1)C(=S)N=C(N2)N	25
CHEMBL43048	CC(CC1=CC2=C(C=C1)OCO2)NC	25
CHEMBL279085	C=CCN1CCC2=C(CC1)SC(=N2)N	25
CHEMBL500128	CCCCCCCCCCCCOCCOCCOCCOCCO	25
CHEMBL959	CC(C12CC3CC(C1)CC(C3)C2)N	25
CHEMBL1983100	C1CCC(CC1)NC(=O)CN2CCNCC2	25
CHEMBL219568	C1=NC2=C(N1)C(=O)NC(=N2)N	25
CHEMBL446060	CC(C)OC1=CC=CC=C1OC(=O)NC	25
CHEMBL4094396	CC1=CC=C(C=C1)C(=O)C(C)NC	25
CHEMBL169901	C1CN(CC2=CC=CC=C21)C(=N)N	25
CHEMBL256147	CN=C(N)NCCC[C@@H](C(=O)O)N	26
CHEMBL14	C[N+](C)(C)CCOC(=O)N.[Cl-]	26
CHEMBL887	C#CCN[C@@H]1CCC2=CC=CC=C12	26
CHEMBL279898	CCCN1C2=C(C(=O)NC1=O)NC=N2	26
CHEMBL288114	C1=C(C=C(C(=C1O)O)O)C(=O)O	26
CHEMBL13852	C1CC1C2=CC=CC=C2OCC3=NCCN3	26
CHEMBL8659	CCCCCCCC/C=C\CCCCCCCC(=O)O	26
CHEMBL12208	CC1=CC(=O)OC2=C1C=CC(=C2)O	26
CHEMBL526	CC(C)C1=C(C(=CC=C1)C(C)C)O	26
CHEMBL964	CCN(CC)C(=S)SSC(=S)N(CC)CC	26
CHEMBL764	CC(C(C1=CC(=C(C=C1)O)O)O)N	26
CHEMBL290916	CC1=NN(C(=O)C1)C2=CC=CC=C2	26
CHEMBL542541	C1=CC=C2C(=C1)C=NN=C2NN.Cl	26
CHEMBL1453317	CCN(CC)C(=O)C1=CC=CC(=C1)C	26
CHEMBL225164	C1=CC2=C(C=CC(=C2N=C1)O)Cl	26
CHEMBL94394	CCCCOC1=CC=C(C=C1)CC(=O)NO	26
CHEMBL1215	CNC[C@@H](C1=CC(=CC=C1)O)O	26
CHEMBL190	CN1C2=C(C(=O)N(C1=O)C)NC=N2	27
CHEMBL1437	C1=CC(=C(C=C1[C@H](CN)O)O)O	27
CHEMBL10316	C1CN=C(N1)C2COC3=CC=CC=C3O2	27
CHEMBL18116	CC1=CC(=CC=C1)N2CC(OC2=O)CO	27
CHEMBL114551	CC(=NCCSCC[C@@H](C(=O)O)N)N	27
CHEMBL30	CC1=C(N=CN1)CSCCNC(=NC)NC#N	27
CHEMBL807	CC12CC3CC(C1)(CC(C3)(C2)N)C	27
CHEMBL489079	C1=CC(=CC=C1CC/C(=C\F)/CN)F	27
CHEMBL360328	C[C@H]1CNCCC2=C1C=C(C=C2)Cl	27
CHEMBL35505	C1=CC=C2C(=C1)C(=NN=C2NN)NN	27
CHEMBL1231530	C1=CC=C(C=C1)C(=O)NCCC(=O)O	27
CHEMBL463	C1=CC(=CC=C1C(=O)NCC(=O)O)N	27
CHEMBL748	C[N+]1=CC=CC=C1/C=N/O.[Cl-]	27
CHEMBL1200606	CC1=C(C(=CC=C1)C)OCC(C)N.Cl	27
CHEMBL6607	CC(CC1=CC(=C(C=C1OC)Br)OC)N	27
CHEMBL17962	C1=C(NC=N1)C[C@@H](C(=O)O)N	27
CHEMBL277474	CC1=CC(=O)N(N1C)C2=CC=CC=C2	27
CHEMBL65547	CN(C)CCC1=CNC2=C1C(=CC=C2)O	27
CHEMBL95	C1CCC2=NC3=CC=CC=C3C(=C2C1)N	28
CHEMBL134	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	28
CHEMBL20	CC(=O)NC1=NN=C(S1)S(=O)(=O)N	28
CHEMBL21536	CCCCCCOC1=NSN=C1C2=CCCN(C2)C	28
CHEMBL127071	CC1=C(C=CC=N1)OC[C@@H]2CCCN2	28
CHEMBL113	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	28
CHEMBL972	C[C@H](CC1=CC=CC=C1)N(C)CC#C	28
CHEMBL1356	C1=CC=C(C=C1)C(=O)[O-].[Na+]	28
CHEMBL1060	OP(=O)([O-])[O-].[Na+].[Na+]	28
CHEMBL301265	CCCN[C@H]1CCC2=C(C1)SC(=N2)N	28
CHEMBL7257	CN(C)CCC1=CNC2=C1C=C(C=C2)OC	28
CHEMBL310671	C1=CC=C2C(=C1)C(=O)NS2(=O)=O	28
CHEMBL57895	CCC1(CC2=CC=CC=C2O1)C3=NCCN3	28
CHEMBL145	C1=CC(=C(C=C1/C=C/C(=O)O)O)O	28
CHEMBL434	CC(C)NCC(C1=CC(=C(C=C1)O)O)O	28
CHEMBL776	CC(C)NCC(C1=CC(=CC(=C1)O)O)O	28
CHEMBL1585	C1CN(CCN1C(=O)CCBr)C(=O)CCBr	28
CHEMBL295316	CC1=CC(=O)C2=C(C1=O)C=CC=C2O	28
CHEMBL86754	C1=CC2=C(C(=C(C=C2I)I)O)N=C1	28
CHEMBL1329029	C1(=C(C(=O)C(=C(C1=O)O)O)O)O	28
CHEMBL828	C1=CC=C2C(=C1)NC3=CC=CC=C3S2	28
CHEMBL284377	C([C@@H](C(=O)O)N)OP(=O)(O)O	28
CHEMBL12856	C1=CN=CC=C1C2=CNC(=O)C(=C2)N	28
CHEMBL266195	CC(C)NCC(COC1=CC=CC=C1CC=C)O	28
CHEMBL504652	C1CC2(CCN(C2)C3=CN=CC=C3)NC1	28
CHEMBL1593568	C1=CC(=CC=C1CN)S(=O)(=O)N.Cl	28
CHEMBL231616	C1=CC(=C(N=C1)/C=N/NC(=S)N)N	28
CHEMBL13589	C1=CC=C(C=C1)NC2=NC=NC(=N2)N	28
CHEMBL184	C1=NC2=C(N1COCCO)N=C(NC2=O)N	28
CHEMBL1413	CC1=CC(=O)N(C(=C1)C2CCCCC2)O	28
CHEMBL2205807	CC1=CN=C(C=C1)C2=NC=C(C=C2)C	28
CHEMBL18772	C1CN(CCN1)C2=NC3=CC=CC=C3C=C2	29
CHEMBL640	CCN(CC)CCNC(=O)C1=CC=C(C=C1)N	29
CHEMBL353972	CCC1(CC2=CC=CC=C2C1)C3=CN=CN3	29
CHEMBL289116	CCC1(CCC(=O)NC1=O)C2=CC=NC=C2	29
CHEMBL679	CNC[C@@H](C1=CC(=C(C=C1)O)O)O	29
CHEMBL134641	CO/N=C(\C#N)/[C@H]1CN2CCC1CC2	29
CHEMBL521	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	29
CHEMBL414	C1=CC(=CC=C1C(=O)O)S(=O)(=O)N	29
CHEMBL683	CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl	29
CHEMBL796	COC(=O)C(C1CCCCN1)C2=CC=CC=C2	29
CHEMBL1289	C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI	29
CHEMBL834	C(CN)C(O)(P(=O)(O)O)P(=O)(O)O	29
CHEMBL267476	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	29
CHEMBL546	CC(C)NCC(COC1=CC=CC=C1OCC=C)O	29
CHEMBL471036	C1CNCCC1OCC2=CC3=CC=CC=C3C=C2	29
CHEMBL32749	COC1=C(C=CC(=C1)/C=C/C(=O)O)O	29
CHEMBL856	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2	29
CHEMBL497	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1	29
CHEMBL46730	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	29
CHEMBL127810	CCCNC(C)(C)COC(=O)C1=CC=CC=C1	29
CHEMBL1200895	C1=CC=C(C=C1)CCNN.OS(=O)(=O)O	29
CHEMBL1551666	CCCCCCCCCCCCCCCCCC(=O)OCC(C)O	29
CHEMBL39677	C1=CC=C2C(=C1)C=C3C=CC=CC3=N2	29
CHEMBL1200586	CCCNC(C)C(=O)NC1=CC=CC=C1C.Cl	29
CHEMBL1762658	C1=CC(=CC=C1C(=O)[O-])N.[Na+]	29
CHEMBL1388	C1=CC=C(C=C1)COC2=CC=C(C=C2)O	29
CHEMBL448	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC	29
CHEMBL282614	C1CN(CCN1)C2=C3C(=CC=C2)OCCO3	29
CHEMBL79	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C	29
CHEMBL301523	C1=CC=C(C=C1)C[C@@H](C(=O)O)N	29
CHEMBL8030	CC1=CC(=CC=C1)OC2=CNC(=O)N=C2	29
CHEMBL1288786	CCC(=O)NC1=NN=C(S1)S(=O)(=O)N	29
CHEMBL249420	CCCN[C@@H]1CCC2=C(C1)SC(=N2)N	29
CHEMBL1370446	CC1=C(C2=CC=CC=C2S1)CC3=NCCN3	29
CHEMBL500	CC(C)NCC(COC1=CC=CC2=C1C=CN2)O	30
CHEMBL45	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	30
CHEMBL75880	C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3	30
CHEMBL48092	C1=CC2=CN=CN2C(=C1)CCCCCC(=O)O	30
CHEMBL269538	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC	30
CHEMBL625	C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3	30
CHEMBL870	C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN	30
CHEMBL761	C1CN=C(N1)CC2=CC=CC3=CC=CC=C32	30
CHEMBL455	CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N	30
CHEMBL1322824	CCC(C(C1=CC(=C(C=C1)O)O)O)N.Cl	30
CHEMBL1233	CCCC(C)(COC(=O)N)COC(=O)NC(C)C	30
CHEMBL223448	C1=CC2=C(C(=C(C=C2Br)Br)O)N=C1	30
CHEMBL1200596	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1	30
CHEMBL24171	COC1=C2C=CC(=O)OC2=CC3=C1C=CO3	30
CHEMBL17860	CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl	30
CHEMBL15891	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	30
CHEMBL164660	C1=CC(=O)OC2=CC3=C(C=CO3)C=C21	30
CHEMBL1351474	CC1=CC(=O)[N-]S(=O)(=O)O1.[K+]	30
CHEMBL13	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O	30
CHEMBL273977	C1CCC(CC1)NS(=O)(=O)[O-].[Na+]	30
CHEMBL1454	C1CSC2=N[C@H](CN21)C3=CC=CC=C3	30
CHEMBL460499	CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F	30
CHEMBL925	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	30
CHEMBL314437	CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O	30
CHEMBL338802	C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N	30
CHEMBL589	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1	31
CHEMBL51934	C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O	31
CHEMBL19236	CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC	31
CHEMBL19	CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C	31
CHEMBL93	CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O	31
CHEMBL267473	C1=CC(=CC=C1C(=O)O)OCCN2C=CN=C2	31
CHEMBL86304	C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl	31
CHEMBL186720	CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2	31
CHEMBL7549	CCCN1CCC[C@H](C1)C2=CC(=CC=C2)O	31
CHEMBL565	CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl	31
CHEMBL1677	C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl	31
CHEMBL8706	CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C	31
CHEMBL1760	CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O	31
CHEMBL718	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N	31
CHEMBL1239	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2	31
CHEMBL209744	C1=CC=C(C=C1)COC(=O)C2=CN=CC=C2	31
CHEMBL1711	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl	31
CHEMBL1256179	CC(C)NCC(COC1=CC=CC=C1CC=C)O.Cl	31
CHEMBL272485	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	31
CHEMBL1528839	C1=CC=C(C=C1)CCN=C(N)N=C(N)N.Cl	31
CHEMBL23832	C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O	31
CHEMBL698	CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C	31
CHEMBL82202	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O	31
CHEMBL1705	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl	31
CHEMBL1200904	C[C@H](CC1=CC=CC=C1)N(C)CC#C.Cl	31
CHEMBL833	C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl	31
CHEMBL4297594	CC(C)OCCN1C2=C(C(=O)NC1=S)NC=C2	31
CHEMBL32350	CC1=CC2=C(C=C1)N3CCNC4C3=C2CCC4	31
CHEMBL1128	CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-]	32
CHEMBL488	CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N	32
CHEMBL98	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO	32
CHEMBL1560	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O	32
CHEMBL10878	CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC	32
CHEMBL10247	C1=CC=C(C=C1)CC(CS)C(=O)NCC(=O)O	32
CHEMBL72	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	32
CHEMBL750	C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N	32
CHEMBL1722	COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl	32
CHEMBL259209	CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2	32
CHEMBL416	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	32
CHEMBL1237044	CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O	32
CHEMBL201960	CCCC(C(=O)C1=CC=C(C=C1)C)N2CCCC2	32
CHEMBL398110	CCCN1C=C(N=C1)C[C@H](CCCN)C(=O)O	32
CHEMBL55214	C(CCC(O)(P(=O)(O)O)P(=O)(O)O)CCN	32
CHEMBL550	CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C	32
CHEMBL206468	C1[C@@H]([C@H]([C@@H](CN1)O)O)CO	32
CHEMBL1079	C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl	32
CHEMBL295467	CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC	32
CHEMBL462605	C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl	32
CHEMBL19449	CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C	32
CHEMBL27	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O	32
CHEMBL607	CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2	32
CHEMBL714	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	32
CHEMBL353581	C1=CC(=CN=C1)NC(=O)CCCCCCC(=O)NO	32
CHEMBL458769	CCOC1=C(C=CC(=C1)NC(=O)C)C(=O)OC	32
CHEMBL43184	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N	32
CHEMBL1562779	CCCCCCCCCCCCCCOC1=CC=C(O1)C(=O)O	32
CHEMBL1200966	C1=CC(=C(C=C1N)O)C(=O)[O-].[Na+]	32
CHEMBL1105	COC1=CC2=C(C=C1)C=C(C=C2)CC(=O)O	32
CHEMBL2179529	C1C2CN(CC2CN1)C(=O)C3=CC=C(O3)Cl	32
CHEMBL464982	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O	32
CHEMBL299155	C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O	32
CHEMBL1201213	CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C	32
CHEMBL1282	CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N	32
CHEMBL3678076	CCCCOC1=CC=CC(=C1)CCNCC(=O)N(C)C	32
CHEMBL3942498	C#CCNC1=NC(=NC(=C1Br)N)N2C=NC=N2	32
CHEMBL23393	CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]	32
CHEMBL182	C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N	32
CHEMBL9298	C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N	33
CHEMBL657	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2	33
CHEMBL366265	CCN(CC)CCOC1=CC=CC=C1CC2=CC=CC=C2	33
CHEMBL190677	C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O	33
CHEMBL894	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	33
CHEMBL24	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	33
CHEMBL668	CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13	33
